qabas_lemma_id,qabas_lemma,sama_lemma_id,sama_lemma
2023251922,"رُصِدَ ",390050347,"رَصَدُ۪ 2"
2023251892,مُشَهٍّ,390022962,"مُشَهِّي 1"
2023251800,نَدْغٌ1,3900377180,NULL
2023251768,مُضَارِبٌ,390023940,"مُضارِب 1"
2023251755,مُسْتَحَاثَةٌ,390011895,"مُسْتَحاث 1"
2023251660,لَامُتَنَاهٍ,390015159,"لامُتَناهِي 1"
2021806700,خُرَاجٌ,390029564,"خُراج 1"
2021807600,مَخْرَجٌ,390030058,"مَخْرَج 1"
2021807300,خِرِّيجٌ,390029911,"خِرِّيج 1"
2021807500,خَوَارِجٌ,390019402,"خَوارِج 1"
2021807800,تَخْرِيجٌ,390025183,"تَخْرِيج 1"
2020840300,كَنَزَ,390004463,"كَنَزِ۪ 1"
2020840400,"اِكْتَنَزَ | اِكْتَنَزَ ب | اِكْتَنَزَ في",390001935,"ٱِكْتَنَز 1"
2020840600,كَنَسَ1,390004460,"كَنَسُ۪ 1"
2020840900,كَنَفَ,390004468,"كَنَفُ۪ 1"
2020841000,اِكْتَنَفَ,390001938,"ٱِكْتَنَف 1"
2020841100,كَنَّ1,390004475,"كَنِّ۪ 1"
2020841900,"كَنَى عن",390004414,"كَناُ۪ 1"
2020841800,اِكْتَنَهَ,390001930,"ٱِكْتَنَه 1"
2020842000,كَنَى,390004466,"كَنَىِ۪ 1"
2020842100,"تَكَنَّى ب",390001636,"تَكَنَّى 1"
2020841400,اِسْتَكَنَّ,390008901,"ٱِسْتَكَنّ 1"
2020841300,أَكَنَّ,390003825,"أَكَنّ 1"
2020841500,اِكْتَنَّ,390001947,"ٱِكْتَنّ 1"
2020842300,كَهْرَبَ,390004501,"كَهْرَب 1"
2020842200,كَنَّى,390004470,"كَنَّى 1"
2020842400,تَكَهْرَبَ,390001632,"تَكَهْرَب 1"
2020842800,اِكْتَهَلَ,390001950,"ٱِكْتَهَل 1"
2020842700,كَهُلَ,390004448,"كَهُلُ۪ 1"
2020842900,"كَهَنَ ل",390004450,"كَهَنَُ۪ 1"
2020843500,كَوَّدَ,390004505,"كَوَّد 1"
2020843600,كَوَّرَ,390004503,"كَوَّر 1"
2020843800,"تَكَوَّرَ | تَكَوَّرَ على",390001630,"تَكَوَّر 1"
2020844000,"كَوَّشَ على",390004509,"كَوَّش 1"
2020844400,كَوَّمَ,390004510,"كَوَّم 1"
2020844300,تَكَوَّمَ,390001626,"تَكَوَّم 1"
2020845400,تكَيَّسَ,390001666,"تَكَيَّس 1"
2020844900,"اِكْتَوَى | اِكْتَوَى ب",390001941,"ٱِكْتَوَى 1"
2020845200,كايَدَ,390003362,"كايَد 1"
2020845600,تَكَيَّفَ,390001664,"تَكَيَّف 1"
2020845500,كَيَّسَ,390004478,"كَيَّس 1"
2020845800,كَالَ,390003351,"كالِ۪ 1"
2020846200,كَيَّلَ,390004486,"كَيَّل 1"
2020846100,كايَلَ,390003371,"كايَل 1"
2020846400,"اِسْتَكانَ | اِسْتَكانَ ل",390008866,"ٱِسْتَكان 1"
2020846700,تَأَبَّدَ,390002396,"تَأَبَّد 1"
2020846900,أَبَّرَ,390001272,"أَبَّر 1"
2020846800,أَبَرَ,390001239,"أَبَرُِ۪ 1"
2020847100,أَبَقَ,390001242,"أَبَقُِ۪ 1"
2020847000,تَأَبَّطَ,390002395,"تَأَبَّط 1"
2020847400,"أَبَهَ إِلى | أَبَهَ ب | أَبَهَ لِ",390001269,"أَبَهَِ۪ 1"
2020847600,"تَأَبَّهَ على | تَأَبَّهَ عن",390002408,"تَأَبَّه 1"
2020847900,"أَبَى1 | أَبَى على | أَبَى عن | أَبَى من",390001270,"أَبَىَ۪ 1"
2020848100,"تَأَبَّى | تَأَبَّى على | تَأَبَّى عن",390002407,"تَأَبَّى 1"
2020848800,"تَأَتَّى عن | تَأَتَّى ل | تأتَّى من",390002406,"تَأَتَّى 1"
2020848900,أَثَّثَ,390008874,"أَثَّث 1"
2020849000,تَأَثَّثَ,390002848,"تَأَثَّث 1"
2020849400,"اِسْتَأثَرَ | اِسْتَأثَرَ ب",390007458,"ٱِسْتَأْثَر 1"
2020850000,تَأَثَّمَ,390002842,"تَأَثَّم 1"
2020850300,أَجَّجَ,390008954,"أَجَّج 1"
2020850400,تَأَجَّجَ,390002840,"تَأَجَّج 1"
2020850500,أَجَرَ1,390008950,"أَجَرُِ۪ 1"
2020850800,أَجَّرَ,390008955,"أَجَّر 1"
2020850900,اِسْتَأْجَرَ,390007455,"ٱِسْتَأْجَر 1"
2020850700,آجَرَ2,390000050,"آجَر 1"
2020851400,تَأَجَّلَ,390002856,"تَأَجَّل 1"
2020851300,اِسْتَأْجَلَ,390007456,"ٱِسْتَأْجَل 1"
2020851700,أَحَّ,390009102,"أَحُّ۪ 1"
2020852400,"تَأَخَّرَ | تَأَخَّرَ على | تَأَخَّرَ عن",390002854,"تَأَخَّر 1"
2020852600,آخَى,390000054,"آخَى 1"
2020853000,أَدُبَ,390000483,"أَدُبُ۪ 1"
2020852900,تَأَخَّى,390002852,"تَأَخَّى 1"
2020852800,تَآخى,390002402,"تَآخَى 1"
2020853100,أَدَّبَ,390000484,"أَدَّب 1"
2020853200,"تَأَدَّبَ | تَأَدَّبَ ب",390002850,"تَأَدَّب 1"
2020853400,آدَبَ,390000057,"آدَب 1"
2020853300,أَدَبَ,390000455,"أَدَبِ۪ 1"
2023255815,آدِبٌ,390010044,"آدِب 1"
2020854100,"تَأَدَّى | تَأَدَّى إلى | تَأَدَّى ل",390002870,"تَأَدَّى 1"
