ili_id,oewn_pos,matched_english,oewn_words,ao_words,ao_gloss,oewn_definition
i59901,n,temple,synagogue|temple|tabernacle,هَيْكَلٌ,معبد يقيم فيه اليهودُ الشعائر الدينية يشيدونه ليكون البيتُ الضخمُ المقدَّسُ لهم,(Judaism) the place of worship for a Jewish congregation
i59603,n,stock exchange,stock exchange|stock market|securities market,بُورْصَةٌ,متجر مَالِيَّ يَجْتَمِعُ فِيهَا وُكَلاَءُ الشَّرِكَاتِ الكُبْرَى والتُّجَّارُ وَعُمَلاَءُ الْمَصَارِ,an exchange where security trading is conducted by professional stockbrokers
i57445,n,shopping center,plaza|mall|center|shopping mall|shopping center,مُول,متجر ضخم يضم العديد من المحال التجارية الضخمة في بقعة مكانية واحدة,mercantile establishment consisting of a carefully landscaped complex of shops representing leading 
i33095,v,shelter,shelter,مَلْجَأٌ|مَأْوَىً,منشط مخصص لإيواء المحتاجين أو الأشخاص الهاربون من تحدي أو خطر ما,invest (money) so that it is not taxable
i27139,v,master,overcome|get over|subdue|surmount|master,مَدْرَسٌ,صرح ممثل بمساحة أو مكان تمارس فيه عملية التعليم والدراسة,get on top of; deal with successfully
i36585,n,butchery,slaughter|massacre|mass murder|carnage|butchery,مَسْلَخٌ|مَذْبَحٌ|مَجْزَرٌ,منشط خصص لذبح وسلخ البهائم,the savage and excessive killing of many people
i28189,v,cabin,cabin,قَمَرَةٌ|كُوخٌ,,"confine to a small space, such as a cabin"
i85934,n,pacific ocean,Pacific|Pacific Ocean,المحيط الهادي,محيط، هو الأكبر والأعمق بين المحيطات الخمسة، يغطي ثلث سطح الأرض، تصل مياهه جميع القارات ماعدا قارتي ,the largest ocean in the world
i34199,v,cage,cage|cage in,قَفَصٌ,مأوي الطائر الذي يحبس فيه ويكون على شكل صندوق مصنوع من اعمدة متشابكة,confine in a cage
i58453,n,sarcophagus,sarcophagus,نَاوُوسٌ,مقبرة الموتى عند النصارى,a stone coffin (usually bearing sculpture or inscriptions)
i58945,n,silo,silo,صَوْمَعَةٌ,مجمع مخصص لتحفظ يه الحبوب لمدة من الزمن,a cylindrical tower used for storing silage
i55573,n,laundry,laundry,مَغْسَلَةٌ,منشط مخصص لتنظيف الاشياء من الاوساخ والعوالق,workplace where clothes are washed and ironed
i112853,n,princedom,princedom,إِمَارَةٌ,دولة نظام الحكم فيها وراثيا كالنظام الملكي ويحكمها أمير,the dignity or rank or position of a prince
i24348,v,camp,camp,مُخَيَّمٌ,منزل اللاجئين المشردين من بيوتهم,give an artificially banal or sexual quality to
i55652,n,library,library,مَكْتَبَةٌ,ملتقى مخصص لدراسة او اعارة بعض المطبوعات والمخطوطات بأنواعها المتعددة,a building that houses a collection of books and other materials
i34938,v,tent,camp|encamp|camp out|bivouac|tent,خَيْمَةٌ,منزل مؤقت، مصنوع من الوبر أَو الشعر أَو الصوف أو نحوه، يقام على أَعْوَاد ويشد بأطناب,live in or as if in a tent
i28625,v,birdnest,birdnest|bird-nest,وَكْرٌ|عُشٌّ|وَكْنٌ,مأوي الطائر، يصنعه من قش واعواد ونحوه، ليبيض ويُفرخ فيه,gather birdnests
i12010,s,5,five|5|v,خَمْسٌ1|خَمْسَةٌ,عَدَد طَبيعي أَوّلي يَدُلُّ عَلى قِيمَة مَجْموع أَرْبَعَة وَواحِد، وَهُوَ أَصْغَر مِنْ العَدَد سِتَّ,being one more than four
i37798,n,land,farming|land,وَطَنٌ|بَلَدٌ|دَوْلَةٌ,منطقة جيوسياسية لها حُدُود معروفة وشَعْب وفيها حُكُومَة ومُؤسَّسَات مُنَظَّمَة، ولها شخصية اعتبارية ,agriculture considered as an occupation or way of life
i83501,n,egypt,Egyptian Empire|Egypt,مِصْرُ2,دولة معروفة في أقصى شمال شرق إفريقية يخترقها نهر النيل سميت بذلك منذ زمن بعيد,an ancient empire to the west of Israel; centered on the Nile River and ruled by a Pharaoh; figured 
i12011,s,6,six|6|vi|half dozen|half-dozen,سِتَّةٌ,عَدَد طَبيعي مُرَكَّبْ يَدُلُّ عَلى قِيمَة مَجْموع خَمْسَة وَواحِد، وَهُوَ أَصْغَر مِنْ العَدَد سَبْ,being one more than five
i56337,n,monastery,monastery,دَيْرٌ,معبد لدى النصارى واليهود للعبادة والتأمل، يتميز بوجود رهبان أو راهبات أو نساك يقطنون به ويعتنون به.,the residence of a religious community
i12012,s,7,seven|7|vii,سَبْعَةٌ,عَدَد طَبيعي أَوَّلي يَدُلُّ عَلى قِيمَة مَجْموع سِتَّة وَواحِد، وَهُوَ أَصْغَر مِنْ العَدَد ثَمانِي,being one more than six
i28374,v,canopy,canopy,ظُلّةٌ|مَظَلَّةٌ|مِظَلَّةٌ|سَقِيفَةٌ,منزل صغير منعزل يُستَظَل به من الحر ويُستتر به البرد والمطر، يتواجد في محطات النقل والبيوت والاماكن ,cover with a canopy
i55526,n,lane,lane,مَسْلَكٌ|مَسَارٌ,طريق ضيق ذو اتجاه واحد,a well-defined track or path; for e.g. swimmers or lines of traffic
i59809,n,supermarket,supermarket,سوبر ماركت,متجر كبير لبيع السلع الاستهلاكية,a large self-service grocery store selling groceries and dairy products and household goods
i12013,s,8,eight|8|viii,ثَمَانِيَةٌ,عَدَد طَبيعي مُرَكّّبْ يَدُلُّ عَلى قِيمَة مَجْموع سَبْعَة وَواحِد، وَهُوَ أَصْغَر مِنْ العَدَد تِسْ,being one more than seven
i34193,v,jail,imprison|incarcerate|lag|immure|put behind bars,حَبْسٌ|مُعتَقَلٌ|سِجْنٌ|مَحْبِسٌ,منشط مخصص لإيواء الأشخاص المحكوم عليهم فترات زمنية يحرموا فيها حرياتهم,"lock up or confine, in or as in a jail"
i53275,n,dye-works,dye-works,مَدْبَغَةٌ|مَصْبَغَةٌ,مشغل مخصّص لدباغة الأقمشة والجلود وإكسابها الألوان المختلفة,a workshop where dyeing is done
i50375,n,bakery,bakery|bakeshop|bakehouse,مَخْبِزٌ|تَنُّورٌ|فُرْنٌ,مشغل مخصّص لإنتاج الأغذية المخبوزة وإنضاجها بالحرارة، مثل الخبز والمعجّنات والكعك والفطائر ونحوها,a workplace where baked goods (breads and cakes and pastries) are produced or sold
i33221,v,market,market,سُوقٌ,منشط يحوي العديد من المتاجر والمحلات التي تعرض السلع والخدمات بهدف البيع والشراء,"engage in the commercial promotion, sale, or distribution of"
i29608,v,pasture,crop|browse|graze|range|pasture,مَرْعَىً,منشط ترتع فيه الحيوانات وتأكل الاعشاب,feed as in a meadow or pasture
i12014,s,9,nine|9|ix,تِسْعَةٌ,عَدَد طَبيعي مُرَكَّب يَدُلُّ عَلى قِيمَة مَجْموع ثَمانِيَة وَواحِد، وَهُوَ أَصْغَر مِنْ العَدَد عَش,being one more than eight
i40815,n,office,office,مَكْتَبٌ,منشط مخصص لممارسة الاعمال الممنهجة والمنظمة لتسسير امر ما ويكون عادة تابعا لمؤسسة ويسير وفق قوانين خ,a religious rite or service prescribed by ecclesiastical authorities
i33401,v,site,locate|place|site,مَحَلٌّ,مكان هويته مرتبطة بما يحتله من موجودات مادية أو أحداث، يكتسب هويته من المحتل وتتغير هويته بتغير مُحت,assign a location to
i59717,n,studio,studio,اِسْتُودْيُو|أُسْتُودْيُو|إِسْتُوْدْيُو,منشط خصص لإلتقاط وتحرير جميع انواع الصور وما يتعلق بها من فنون,workplace consisting of a room or building where movies or television shows or radio programs are pr
i51842,n,chicken yard,chicken yard|hen yard|chicken run|fowl run,خُمٌّ,مأوى الطيور، خاصة الدجاج، تحبس فيه، ويكون بشكل وحجم كوخ او غرفة صغيرة,an enclosed yard for keeping poultry
i35447,v,object,object,قَائِمٌ|قَيُّومٌ|وَاقِعِيٌّ|ذَاتٌ1|مَوْجُودٌ|شَيْءٌ|حَقِيقِيٌّ|كَائِنٌ2,شيء له ذات مستقلّة بنفسه، وحاضر كليّاً في الزّمن، ويُدرك بذاته قياساً أو لذاته اعتباراً,be averse to or express disapproval of
i3710,s,occurrent,occurrent,سَيْرورَةٌ|حُصُولٌ|حُدُوثٌ,الشيء الذي تُدرك ذاته وأجزائه بجريانه عبر الزمن,presently occurring (either causally or incidentally)
i63751,n,information,information|selective information|entropy,تَعْبِيرٌ,شيء يمثل أو يدلل على كينونات أخرى علائقياً، ويحمل معلومة بغض النظر عن كيفية تمثيل أو تجسيد هذه المعل,(communication theory) a numerical measure of the uncertainty of an outcome
i24929,v,process,process,عَمَلِيَّةٌ,حدث تراكمي يتكون من سلسلة من الأفعال المتراتبة، التي تحدث بشكل متتابع على خط الزمن,perform mathematical and logical operations on (data) according to programmed instructions in order 
i12015,s,10,ten|10|x,عَشْرَةٌ|عَشْرٌ,عَدَد طَبيعي مُرَكَّب يَدُلُّ عَلى قِيمَة مَجْمُوع تِسْعَة وَواحِد وَهُوَ أَصْغَر مِنْ العَدَد أَحَد,being one more than nine
i41717,n,refuge,recourse|resort|refuge,مَخْبَأٌ|مَلَاذٌ|مَلْجَأٌ|مَعْقِلٌ,منزل يأْوِي إليه الناس للإختباء أو الحماية من الخطر أو الضرر,act of turning to for assistance
i27238,v,barricade,barricade|barricado,مِتْرَاسٌ,مَلْجَأ يَسْتَتِرُ بِهِ الجُنْدِيُّ أَوِ الْمُدَافِعُ عَنْ نَفْسِهِ كَالَحائِطِ أَوِ الْحَاجِزِ,block off with barricades
i1465,s,quality,quality,سِمَةٌ|مَيْزَةٌ|مِيزَةٌ|خَاصِّيَّةٌ|صِفَةٌ,منوط يلازم كينونات أخرى ليحدّد صفاتها، ويميّزها عن غيرها,of high social status
i113363,n,capability,capability|capacity,مَقْدِرَةٌ|قُدْرَةٌ,منوط يصف حَالَةُ التَّهَيُّؤِ الَّتِي تكُونُ عَلَيْهَا الكينونات اسْتِعْدَاداً لعمل شَيْءٍ مَّا,the susceptibility of something to a particular treatment
i39228,n,role,role,مُهِمَّةٌ1|مَهَمَّةٌ|مُهِمَّةٌ2|دَوْرٌ,منوط يمثّل مجموعة الأنشطة المترابطة التي تقوم بها موجودات لإيفاء غرض معيّن,normal or customary activity of a person in a particular social setting
i26010,v,state,submit|state|put forward|posit,وَضْعٌ|هَيْئَةٌ|حَالَةٌ,منوط يعبّر عن صفات الشيء بالنسبة لظروف وتغيّرات معيّنة,put before
i25172,v,abstract,abstract,مُجَرَّدٌ|نَظَرِيٌّ|تَجْريديّ,شيء تدرك ذاته بالذّهن فقط، دون قياس أو تمثيل أو تجسيد اعتباريّ، وليس له موقع في الزمان أو المكان,consider a concept without thinking of a specific example; consider abstractly or theoretically
i22899,v,number,number|keep down,رَقْمٌ|عَدَدٌ,حدّ رياضيّ يعبّر عن كميّة، يستعمل في العدّ والقياس,place a limit on the number of
i21960,v,set,dress|arrange|set|do|coif,فِئَةٌ|مَجْمُوعَةٌ,حدّ رياضيّ يتكوّن من أعداد أو رموز أو حدود رياضيّة أخرى، ويشار إليه كوحدة واحدة,arrange attractively
i108136,n,composite number,composite number,عَدَدْ مُرَكّب|عَدَدْ مُؤَلّف,عَدَدْ طَبيعي يَقْبَل القِسْمَة على أَكْثَرْ مِنْ عَدَدَيْن موجَبَيْن,an integer that is divisible without remainder by at least one positive integer other than itself an
i97777,n,event,event,فَعَّالِيَّةٌ|حَدَثٌ|وَاقِعَةٌ2,حدث غير تراكمي يتكون من سلسلة من العمليات و/او الأفعال تدرك كحدث واحد، أجزاءه الزمنية غير متشابهة، و,a phenomenon located at a single point in space-time; the fundamental observational entity in relati
i38423,n,action,action,فِعْلٌ,حدث لا يمكن تقسيمه إلى احداث جزئية ولا يمتد لفترة من الزمن,the most important or interesting work or activity in a specific area or field
i3480,a,material,substantial|real|material,مَادَّةٌ,موجود مادي يشكّل الَّلبِنة الأساسية التي تتكون منها الموجودات المادية الأخرى، ويدرك بذاته لصفات تميز,having substance or capable of being treated as fact; not imaginary
i81452,n,organism,organism,مُتَعَضٍّ,موجود ماديّ قائم بذاته، يُظهر صفة الحياة، يقوم بمجموعة من الأنشطة والعمليات الحيوية، وهو قادر على ال,a system considered analogous in structure or function to a living body
i71066,n,virus,virus|computer virus,حُمَّةٌ|فَيْرُوسٌ,موجود مادي يمارس نشاطه الحيوي في خلية العائل فقط، سريع التكاثر ويتكون من حمض نووي (DNA or RNA) محاط ,a software program capable of reproducing itself and usually capable of causing great harm to files 
i25400,v,attribute,assign|attribute,مُسْنَدٌ1|مَسْنَدُ|مِسْنَدُ|هَيْئَةٌ|سِمَةٌ|مَيْزَةٌ|مِيزَةٌ|شَكْلٌ1|حَالَةٌ|مَزِيَّةٌ|نعْتٌ|خَصْلَةٌ|صِفَةٌ,مجرّد يصف ويُعبّر عن قيمة خاصيّة لشيء ما دون استعمال وحدة قياس,decide as to where something belongs in a scheme
i63843,n,quantity,quantity,قَدَرٌ|قِسْطٌ|مِقْدَارٌ|مِقْيَاسٌ|كَمِّيَّةٌ|قَدْرٌ,مجرّد يُعبّر عن قيمة لخاصيّة شيء ما بوحدة قياس,an adequate or large amount
i64540,n,spinal canal,spinal canal|vertebral canal|canalis vertebralis,تجويف دماغي,تجويف ظهري كوّنته الفقرات الظهرية للعمود الفقاري،ويضم بداخله الحبل الشوكي,the canal in successive vertebrae through which the spinal cord passes
i66098,n,chest cavity,chest cavity|thoracic cavity,تجويف صدري,تجويف بطني حوضي يضم في داخله أعضاء الجهازالتنفسي والقلب ويحاط بغشاء من الاديم المتوسط,the cavity in the vertebrate body enclosed by the ribs between the diaphragm and the neck and contai
i66323,n,pelvic cavity,pelvic cavity,تجويف حوضي,تجويف بطني حوضي محاط بالعظم ويضم في داخله الاعضاء التناسلية والمثانة والكولون الحوضي والمستقيم,the space bounded by the bones of the pelvis and containing the pelvic viscera
i65314,n,cranial cavity,cranial cavity|intracranial cavity,تجويف دماغي|تجويف مخي,تجويف ظهري يضم الدماغ والسائل الدماغي ويحاط بالقحف المخي,the cavity enclosed by the cranium
i53350,n,organ,electric organ|electronic organ|Hammond organ|organ,عُضْوٌ,بناء حيوي مكون من مجموعة من الأنسجة التي تقوم بعمل وظيفة معينة أو عدة وظائف,(music) an electronic simulation of a pipe organ
i39596,n,proposition,proposition,مَقُولَةٌ,مجرد فرضي، جزئي أو كلي، يحتمل الصواب والخطأ,a task to be dealt with
i51687,n,cell,cell|electric cell,خَلِيَّةٌ,بناء حيوي يمثل الوحدة التركيبيّة والوظيفيّة الأساسيّة في جميع الكائنات الحيّة,a device that delivers an electric current as the result of a chemical reaction
i65502,n,cytoskeleton,cytoskeleton,هيكل خلوي|شبكة خلوية,بناء حيوي رابط يتكون من شبكة من ألياف وانيبيبات بروتينية تنتشر داخل السيتوسول، تُكسب الخلية شكلها وت,a microscopic network of actin filaments and microtubules in the cytoplasm of many living cells that
i80499,n,function,function,غَرَضٌ|عَمَلٌ|وَظِيفَةٌ,قابلية الموجودات للقيام بمهامّ معيّنة لتحقيق غرض وجودها,a formal or official social gathering or ceremony
i25024,v,place,place|come in|come out,مَوْضِعٌ|مَوْقِعٌ|مَكَانٌ,موجود إعتباري يعبر عن منطقة مادية، يكتسب هويته من طبيعة الأحداث التي تقام فيه أو الموجودات الحاضرة ف,take a place in a competition; often followed by an ordinal
i70692,n,collection,solicitation|appeal|collection|ingathering,مَجْمُوعَةٌ|جَمْعٌ|تَشْكِيلَةٌ,موجود اعتباري يتكون من عدد من الموجودات المادية، يدرك وجودهم كوحدة واحدة,request for a sum of money
i30113,v,tissue,weave|tissue,نسيج حيوي,بناء حيوي يتكون من مجموعة من الخلايا المتماثلة التي تقوم بوظيفة محددة، وتربط بينها مادة بين خلوية تن,"create a piece of cloth by interlacing strands of fabric, such as wool or cotton"
i62072,n,organization,organization|organisation|system,جَمْعِيَّةٌ|هَيْئَةٌ|نِظَامٌ|شَرِكَةٌ|شِرْكَةٌ|مُؤَسَّسَةٌ|مُنَظَّمَةٌ|تَنْظِيمٌ|مُنْشَأَةٌ,شخصية اعتبارية منشأة، تتمتع بشخصية قانونية مستقلة عن الكيانات الاعتبارية المؤسِسة له,an ordered manner; orderliness by virtue of being methodical and well organized
i66127,n,abdominal cavity,abdominal cavity|abdomen,تجويف بطني,تجويف جسمي أمامي يقع تحت التجوي الصدري وفوق التجويف الحوضي، يضم بداخله ،المعدة والكبد والمرارة والطح,the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm
i64528,n,microtubule,microtubule,أنيبيبات دقيقة,تركيبة هيكلية خلوية جوفاء تتكون من بروتين يسمى تيوبيولين، غير ثابتة لانها تتفكك وتتكون في اوقات مختل,a microscopically small tubule
i105180,n,ascomycete,ascomycete|ascomycetous fungus,فطر كيسي|فطر زقي,فطر يكون أبواغ جنسية تحمل في محفظة تشبه الكيس,any fungus of the class Ascomycetes (or subdivision Ascomycota) in which the spores are formed insid
i42969,n,flagellum,flagellum,سَوْطِيَّاتٌ|سَوْطٌ1,زائدة خلوية شعرية طويلة توجد بأعداد قليلة على سطح الخلية,"a lash-like appendage used for locomotion (e.g., in sperm cells and some bacteria and protozoa)"
i98194,n,cell wall,cell wall,جدار خلوي,سطح خلية يحيط بالغشاء البلازمي، يتكون من كربوهيدرات عديدة التسكر,a rigid layer of polysaccharides enclosing the membrane of plant and prokaryotic cells; maintains th
i98220,n,tracheophyta,Tracheophyta|division Tracheophyta,نبات وعائي,نبات يحتوي على أوعية ناقلة,in former classifications: comprising plants with a vascular system including ferns and fern allies 
i98330,n,gymnospermae,Gymnospermae|class Gymnospermae|Gymnospermophyta|division Gymnospermophyta,نبات معرى البذور,نبات بذري لا زهري بذوره معراه، ويكون مخاريط,plants having naked seeds not enclosed in an ovary; in some systems considered a class (Gymnospermae
i98662,n,angiospermae,Angiospermae|class Angiospermae|Magnoliophyta|division Magnoliophyta|Anthophyta,نبات مغطى البذور|نبات زهري|نبات مزهر,نبات بذري زهري بذوره مغطاه، ويكون ثمار,comprising flowering plants that produce seeds enclosed in an ovary; in some systems considered a cl
i4171,a,monocotyledonous,monocotyledonous,ذو فلقة,نبات مغطى البذور بذوره لها فلقة واحدة، أوراقه طويلة و رفيعة يكون تعرقها متوازي,(of a flowering plant) having a single cotyledon in the seed as in grasses and lilies
i4170,a,dicotyledonous,dicotyledonous,ذو فلقتين,نبات مغطى البذور بذوره لها فلقتين، وتكون أوراقه عريضة ذات تعرق شبكي,(of a flowering plant) having two cotyledons in the seed
i65570,n,ribosome,ribosome,رَايْبُوسُومٌ,عضية غير محاطة بغشاء، تتكون من بروتين و r RNA ،تقوم ببناء البروتين الخاص بالخلية,an organelle in the cytoplasm of a living cell; they attach to mRNA and move down it one codon at a 
i65509,n,golgi apparatus,Golgi body|Golgi apparatus|Golgi complex|dictyosome,جهاز غولجي,عضية محاطة بغشاء تتكون من حويصلات وحزم من الاكياس الغشائية المنبسطة و المرتبة بشكل موازٍ لبعضها وتتق,a netlike structure in the cytoplasm of animal cells (especially in those cells that produce secreti
i65507,n,lysosome,lysosome,جسم مُحَلِل,عضية محاطة بغشاء تنشأ من جهازغولجي، تحتوي على إنزيمات تسمى إنزيمات التحليل المائي لها القدرة على هضم,an organelle found in the cytoplasm of most cells (especially in leukocytes and liver and kidney cel
i65565,n,mitochondrion,mitochondrion|chondriosome,مَيْتُوكُنْدْرِيَا,عضية محاطة بغشاء قادرة على الانقسام، تقوم بانتاج الطاقة داخل الخلية,an organelle containing enzymes responsible for producing energy
i104881,n,plastid,plastid,بْلَاسْتِيدَاتٌ,عضية محاطة بغشاء قادرة على الانقسام، توجد في النبات و الطحالب فقط، تقوم بصناعة وتخزين مركبات كيميائي,any of various small particles in the cytoplasm of the cells of plants and some animals containing p
i65573,n,vacuole,vacuole,فجوة خلوية,عضية محاطة بغشاء مليئة بسائل يحتوي على مركبات عضوية وغير عضوي، تختلف تركيبها حسب احتياج الخلية,a tiny cavity filled with fluid in the cytoplasm of a cell
i65571,n,centrosome,centrosome|central body,مُرَيْكِزٌ,عضية غير محاطة بغشاء تتكون من أنيبيبات دقيقة، لها دور مهم في انقسام الخلية بحيث تكون خيوط المغزل الت,small region of cytoplasm adjacent to the nucleus; contains the centrioles and serves to organize th
i64920,n,nucleus,lens nucleus|nucleus,نَوَاةٌ,عضية محاطة بغشاء يحوي معظم المادة الورائية للخلية، توجد في خلايا الكائنات حقيقية النواة، وتتحكم بكاف,the central structure of the lens that is surrounded by the cortex
i65512,n,nucleolus,nucleolus|nucleole,نُوَيَّةٌ,عضية غير محاطة بغشاء كروية الشكل، مسئولة عن صناعة وبناء الرايبوسوم و r RNA,a small round body of protein in a cell nucleus; such organelles contain RNA and are involved in pro
i42615,n,protista,Protista|division Protista,كائن طلائعي,كائن حي حقيقي النواة يفتقر لوجود أنسجة أو أعضاء,"eukaryotic one-celled living organisms distinct from multicellular plants and animals: protozoa, sli"
i104947,n,slime mold,slime mold|slime mould,فطر غروي,كائن طلائعي فطري ليس له جدر خلوية، يتميز ببروتوبلازم ذي ألوان جذابة ويكون كتلة غروية لزجة ومتلألئة,a naked mass of protoplasm having characteristics of both plants and animals; sometimes classified a
i42759,n,red algae,red algae,طحلب أحمر,طحلب يحتوي على صبغات حمراء وبنفسجية,marine algae in which the chlorophyll is masked by a red or purplish pigment; source of agar and car
i42695,n,brown algae,brown algae,طحلب بني,طحلب عديد الخلايا وكبير الحجم يعيش في مياه البحار ويتميز بلونه البني,algae having the chlorophyll masked by brown and yellow pigments
i42687,n,diatom,diatom,طحلب ذهبي,طحلب يخزن المواد الغذائية على شكل مادة كريزولامينارين وزيوت,microscopic unicellular marine or freshwater colonial alga having cell walls impregnated with silica
i42724,n,chlorophyte,green algae|chlorophyte,طحلب أخضر,طحلب يحتوي كلوروفيل (a، b) وصبغة الكاروتين، له جدار خلوي يحتوي سليولوز,algae that are clear green in color; often growing on wet ricks or damp wood or the surface of stagn
i42721,n,euglenophyte,euglenoid|euglenophyte|euglenid,طحلب يوغلينا,طحلب وحيد الخلية ، يحتوي صبغات كلوروفيل (a،  b) وصبغة الكاروتين، يمتلك بقعة عينية حساسة للضوء تساعده,marine and freshwater green or colorless flagellate organism
i42776,n,dinoflagellate,dinoflagellate,طحلب ناري,طحلب وحيد الخلية، تحتوي خلاياه صبغة الزانثوفيل التي تعطيه اللون الأخضر المصفر إلى البني,chiefly marine protozoa having two flagella; a chief constituent of plankton
i42620,n,protozoa,Protozoa|phylum Protozoa,كائن أولي|كائن طلائعي شبيه بالحيوانات,كائن طلائعي غير ذاتي التغذية,"in some classifications considered a superphylum or a subkingdom; comprises flagellates, ciliates, s"
i42802,n,sporozoa,Sporozoa|class Sporozoa,كائن بوغي,كائن أولي إجباري التطفل يتحرك بواسطة الانزلاق في سوائل جسم العائل,strictly parasitic protozoans that are usually immobile; includes plasmodia and coccidia and piropla
i42773,n,mastigophora,Mastigophora|class Mastigophora|Flagellata|class Flagellata,كائن ذو أسواط,كائن أولي يتحرك بالأسواط,protozoa having flagella
i42653,n,ciliophora,Ciliata|class Ciliata|Ciliophora|class Ciliophora,كائن ذو أهداب,كائن أولي يتحرك بالأهداب,class of protozoa having cilia or hairlike appendages on part or all of the surface during some part
i9760,s,animal,animal|carnal|fleshly|sensual,حَيَوَانٌ,كائن حقيقيّ النّواة غير ذاتيّ التّغذية، و قادر على الحركة,marked by the appetites and passions of the body
i43021,n,urochordata,Urochordata|subphylum Urochordata|Urochorda|subphylum Urochorda|Tunicata,حَيَوَانٌ حَبْلِيّ الذَّيْل,حبليّ يكون الحبل الظّهريّ فيه في منطقة الذّيل لليرقة، ويختفي عند الأفراد البالغة,tunicates
i43016,n,cephalochordata,Cephalochordata|subphylum Cephalochordata,حَيَوَانٌ حَبْلِيّ الرَّأْس,حبليّ يكون الحبل الظّهريّ فيه ممتدّاً على طول السّطح الظّهري له، ويبقى طيلة حياة الحيوان مثل السّهيم,a chordate subphylum defined by the presence of a notochord that persists throughout life
i43049,n,agnatha,Agnatha|superclass Agnatha,كَائِنٌ لا فَكِّيّ,فقاريّ ليس له فكّان، وليس له أطراف مزدوجة,superclass of eel-shaped chordates lacking jaws and pelvic fins: lampreys; hagfishes; some extinct f
i43078,n,gnathostomata,Gnathostomata|superclass Gnathostomata,كَائِنٌ فَكِّيّ,فقاريّ له فكّان، وله أطراف مزدوجة,comprising all vertebrates with upper and lower jaws
i49977,n,amphibian,amphibian|amphibious aircraft,كَائِنٌ بَرْمائِيٌّ,كائن فكّي يعيش حياة مزدوجة بين البرّ واليابسة,an airplane designed to take off and land on water
i27317,v,fish,fish,سَمَكَةٌ,كائن فكّيّ مائيّ يغطّي جلده قشور,catch or try to catch fish or shellfish
i43083,n,cartilaginous fish,cartilaginous fish|chondrichthian,سَمَكَة غُضْرُوفِيَّة,سمكة هيكلها الدّاخلي يتكوّن من غضاريف,fishes in which the skeleton may be calcified but not ossified
i48829,n,proboscidea,Proboscidea|order Proboscidea,كَائِنٌ ذو خُرْطُومٌ|حَيَوَانٌ ذو خُرْطُومٌ,كائن ثدييّ مشيميّ شفته العليا وأنفه استطالا إلى خرطوم، واستطالت القواطع لتشكّل الأنياب,an order of animals including elephants and mammoths
i45239,n,insectivora,Insectivora|order Insectivora,آكِلُ الحَشَرات,كائن ثدييّ مشيميّ يتغذّى على الحشرات,shrews; moles; hedgehogs; tenrecs
i46701,n,chiroptera,Chiroptera|order Chiroptera,خُفَّاشٌ,كائن ثدييّ مشيميّ قادر على الطيران,an old order dating to early Eocene: bats: suborder Megachiroptera (fruit bats); suborder Microchiro
i13804,a,ungulate,ungulate|ungulated|hoofed|hooved,كائن ذو حافر|حيوان ذو حافر,كائن ثديي مشيمي يمتلك حوافر في نهاية أطرافه,having or resembling hoofs
i48194,n,artiodactyla,Artiodactyla|order Artiodactyla,كائن زوجي الأصابع|حافر زوجي الأصابع,كائن ذو حافر زوجي الأصابع,an order of hooved mammals of the subclass Eutheria (including pigs and peccaries and hippopotami an
i48049,n,perissodactyla,Perissodactyla|order Perissodactyla,كائن فردي الأصابع|حافر فردي الأصابع,كائن ذو حافر فردي الأصابع,"nonruminant ungulates: horses, tapirs, rhinoceros, extinct forms"
i48552,n,xenarthra,Xenarthra|suborder Xenarthra,كائن عديم الأسنان|حيوان عديم الأسنان,كائن ثديي مشيمي ليس له أسنان,armadillos; American anteaters; sloths
i47762,n,lagomorpha,Lagomorpha|order Lagomorpha,كائن أرنبي|حيوان أرنبي,كائن ثديي مشيمي أطرافه الخلفية أطول و أقوى من أطرافه الأمامية,"rabbits, hares, pikas; formerly considered the suborder Duplicidentata of the order Rodentia"
i27311,v,bird,bird|birdwatch,طَائِرٌ,كائن فكي يغطي جسمه الريش,watch and study birds in their natural habitat
i44226,n,crocodile,crocodile,تِمْسَاحٌ,زاحف ليس له درع، رأسه على شكل حرفV,large voracious aquatic reptile having a long snout with massive jaws and sharp teeth and a body cov
i31120,v,snake,snake,حَيَّةٌ|أَفْعَىً,كائن حرشفي عديم الأطراف,move along a winding path
i91099,n,lizard,lounge lizard|lizard,سِحْلِيَّةٌ,كائن حرشفي تمتلك زوجان من الأطراف تحمل أصابع تنتهي بمخالب,a man who idles about in the lounges of hotels and bars in search of women who would support him
i105540,n,vascular tissue,vascular tissue,نسيج نباتي وعائي,نسيج نباتي يقوم بنقل الماء و الغذاء داخل جسم النبات,tissue that conducts water and nutrients through the plant body in higher plants
i105549,n,xylem,xylem,خَشَبٌ 2,نسيج نباتي وعائي يقوم بنقل الماء والأملاح من الجذر وإلى باقي أجزاء النبات ويعطي الدعامة,"the woody part of plants: the supporting and water-conducting tissue, consisting primarily of trache"
i105551,n,phloem,phloem|bast,لِحَاءٌ,نسيج نباتي وعائي يقوم بنقل الغذاء الجاهز من الأوراق إلى جميع أجزاء النبات,"(botany) tissue that conducts synthesized food substances (e.g., from leaves) to parts where needed;"
