ili_id,oewn_pos,matched_english,oewn_words,ao_words,ao_gloss,oewn_definition
i38821,n,anatomy,anatomy,فن التشريح|علم التشريح,أحد فروع علم الأحياء، يُعنى بدراسة شكل وبنية الكائنات الحية وأجزائها (أعضاء، وأنسجة),a detailed analysis
i50164,n,armory,armory|armoury|arsenal,مَصْنَع أَسلِحَة,مصنع مخصّص لإنتاج المعدّات العسكريّة,a place where arms are manufactured
i38355,n,pick,pick,فأسٌ دقيقة الطَّرَفين|صافور,أداة زراعية لحفر الأرض أو تقطيع الخشب,a basketball maneuver; obstructing an opponent with one's body
i75751,n,earthquake,earthquake|quake|temblor|seism,زِلْزَالٌ|رَجْفَةٌ,اهْتِزاز قَويّ يُصيبُ بَعض المَواقع من الأَرض بتَأْثير بَعض العَوامل الطَّبيعيَّة في جَوْفها,shaking and vibration at the surface of the earth resulting from underground movement along a fault 
i91781,n,orthoptist,orthoptist,أخصائي التدريب البصري|اختصاصي التدريب البصري,فرد متخصص ( من غير الأطباء ) في إجراء التدريبات البصرية : وخاصة تلك التدريبات التي تساعد على تناسق ع,a specialist in orthoptics
i68929,n,moral philosophy,ethics|moral philosophy,أَخْلَاقٌ,علم يبحث في الأحكام القيمية التي تنصب على الأفعال الإنسانية من ناحية أنها خير أو شر ، وهو أحج العلوم,the philosophical study of moral values and rules
i60184,n,thermoregulator,thermostat|thermoregulator,تِرْمُوسْتَاتٌ,جهاز يستخدم في تنظيم الحرارة باستخدام التمدد التفاضلي لعنصر حساس يتغير شكله بتغير درجات الحرارة,a regulator for automatically regulating temperature by starting or stopping the supply of heat
i68758,n,thermionics,thermionics,الانبعاث الأيوني الحراري|ثرميونيات,ظاهرة إنتاج جسيمات مشحونة ( إلكترونات أو أيونات عند السطوح المسخنة.,the branch of electronics dealing with thermionic phenomena (especially thermionic vacuum tubes)
i40093,n,workshop,workshop,مَشْغَلٌ|مَعْمَلٌ,موقع مخصّص لممارسة الأعمال اليدويّة أو الحرفيّة أو الصناعيّة ذات الإنتاجيّة الخفيفة,a brief intensive course for a small group; emphasizes problem solving
i52854,n,diaphragm,diaphragm|stop,رِقٌّ,نوع من أنواع الدف,a mechanical device in a camera that controls size of aperture of the lens
i51649,n,cathode,cathode,كَاثُودْ|مَهْبَطٌ|مَهْبِطٌ|مِهْبَطٌ,قطب الدائرة الكهربية,a negatively charged electrode that is the source of electrons entering an electrical device
i50565,n,bathometer,bathymeter|bathometer,مِعْمَاقٌ,مقياس أعماق,an instrument that measures the depth of water
,n,ampholyte,amphoteric electrolyte|ampholyte,الأيون الهجين|ثنائي الشحنة,جزيء متعادل يحمل شحنة موجبة وأخرى سالبة ومثال ذلك أيون الحمض الأميني,"A substance that acts as a base or an acid, depending on the pH of the solution into which it is int"
i50480,n,barometer,barometer,بَارُومِتَر,جهاز يستخدم لقياس ضغط الجو.,an instrument that measures atmospheric pressure
i114060,n,bornite,bornite|peacock ore,بُورْنَيْتٌ,معدن يتركب من كبريتد الحديد والنحاس يتبلور في نظام المكعب،  لونه بين البني والأحمر النحاسي مكسره محا,a mineral consisting of sulfides of copper and iron that is found in copper deposits
