synset_id,ao_concept_id,matched_word,added_words
awn3-07874954-n,47865,عسل,أَريٌ|شَهْدٌ|شُهْدٌ|صَبِيبٌ|جَنَىً|شَوْبٌ
awn3-10697152-n,46397,مشجع,مُؤَازِرٌ|دَاعِمٌ|مُسَانِدٌ|مُدَافِعٌ|مُؤَيِّدَةٌ|مُرَافِقٌ
awn3-02909528-a,53807,تنظيمي,تَكْتِيكِيٌّ|تَعْبَويٌّ
awn3-02879986-a,50096,سمعي,صَوْتِيٌّ
awn3-03186898-n,54426,صاعق,مُحَيِّرٌ|مُدْهِشٌ|مُدْهِشَةٌ|مُذْهِلٌ|مُفَاجِئٌ|مُفَاجِئةٌ
awn3-01063257-n,51669,ري,سَقْيٌ|سِقَايَةٌ
awn3-02669573-n,177951,مسلخ,مَذْبَحٌ|مَجْزَرٌ
awn3-10602839-n,47565,مستوطن,نَازِلٌ|مُقِيمٌ|مُقِيمَةٌ|قَاطِنٌ|هَاجِعٌ|مُسْتَقَرٌّ
awn3-15290845-n,48531,صبا,وُلُودِيَّةٌ|طُفُولَةٌ|صِغَرٌ
awn3-03810284-n,47848,مسمار,سَكٌّ|غِلَالَةٌ|دِسَارٌ
awn3-10807146-n,47756,امراه,غَادَةٌ|أُنْثى|مَرْأَةٌ
awn3-01191018-v,46929,جاع,طَوَى1|ضَرِمَ|تَضَوَّرَ|سَغِبَ|خَمَصَ
awn3-00258995-v,51032,دلف,دَبَّ|دَبَّ على|دَبَّ في|دَجَّ|دَرَجَ|دَرَجَ على
awn3-03835103-n,49161,انشوطه,عُقْدَةٌ|رِبْقَةٌ
awn3-00265761-v,52781,تحمض,تَحْمِيضٌ
awn3-10780008-n,52980,ناخب,مُنْتَقٍ|مُنْتَخِبٌ|مُنْتَخِبَةٌ
awn3-02931992-n,51243,زر,كُعْبُرَةٌ|قَبْضَةٌ|قُبْضَةٌ
awn3-00772482-v,45988,اضطر,جَبَرَ|ألْجَأَ|غَصَبَ|أَرْغَمَ|قَهَرَ|قَسَرَ
awn3-01809490-v,47713,افتقد,تَتَبَّعَ|فَتَّشَ|فَتَّشَ على|فَتَّشَ عن|فَتَّشَ في|اِسْتَنْبَأَ
awn3-07394295-n,47277,جوقه,طُغْمَةٌ|جَمْعٌ|كَوْكَبَةٌ|فَوْجٌ
awn3-00950103-v,48129,احصي,قَدَّرَ|حَسِبَ|حَسَبَ|عَدَّدَ|عَدَّدَ على
awn3-03061006-n,47573,معطف,بِزَّةٌ|كِسَاءٌ|كُسْوَةٌ|كِسْوَةٌ|ثَوْبٌ|زِيٌّ
awn3-01096649-n,47362,اقراض,تَسْلِيفٌ|إِعارَةٌ|إِدانةٌ
awn3-02708189-a,48359,بلدي,أَهْلِيٌّ|مَدَنِيٌّ|وَطَنِيٌّ|شَعْبيٌّ
awn3-02558087-a,47579,مبلل,خَضِلَ|نَدِيٌّ|رَطِيبٌ|رَطْبٌ|نَدٍ
awn3-08232169-n,49223,مفرزه,فِرْقَةٌ
awn3-00238145-v,50368,تركز,جمع في الوسط|تجمع في الوسط
awn3-14846154-n,48361,ملوث,كَدِرٌ|مَشُوبٌ|مُتَعَكِّرٌ|مُتَكَدِّرٌ|حَمِئَ|حَمِئَ على
awn3-04316486-n,46307,باخره,مَاخِرَةٌ|مَرْكَبٌ|مَرْكِبٌ|زَوْرَقٌ|طَرَّادٌ|طَوْفٌ
awn3-00814485-a,54253,متلهف,قَلِقٌ|تَوَّاقٌ
awn3-08403286-n,46101,نخبه,مُخْتَصَرٌ|خَيْرَةٌ|مَضْمُونٌ|صَمِيمٌ|خِيَارٌ1|زُبْدَةٌ2
awn3-07866305-n,46791,جبن,ضَعُفَ|ضَعُفَ عن|يَرِعَ|تَخَاذَلَ|تَخَاذَلَ عَن|تَقاعَسَ
awn3-01312361-v,46963,فلح,حِرَاثةٌ|زَرْعٌ|زِرَاعَةٌ|فِلَاحَةٌ
awn3-01064741-n,46474,خمول,تَغَافُلٌ|تَوَاكُلٌ|تَكاسُلٌ|تَمَهُّلٌ|تَثَاقُلٌ|تَرَوٍّ
awn3-00028558-v,46279,ابتسم,اِسْتَضْحَكَ|ضَحِكَ|ضَحِكَ على|ضَحِكَ من|تَضاحَكَ|اِفْتَرَّ
awn3-04707844-n,47508,شحوب,سُهَامٌ|غَثَاثَةٌ|هُزَالٌ|ضَآلَةٌ|ضَمْرٌ|ضُمْرٌ
awn3-00043049-n,53540,تسبب,تَسْبِيبٌ|إِحْدَاثٌ|إِنْتَاجٌ
awn3-06719615-n,49682,مداليه,نِيشَانٌ|نَوْطٌ
awn3-00084405-n,47770,ميراث,تَرِكَةٌ|تِرْكَةٌ
awn3-08273290-n,46886,اجتماعي,مُخَالَطٌ|مُؤْنِسٌ|مَسَامِرٌ|إِلْفٌ|نَدِيمٌ|عَشِيرٌ
awn3-10045455-n,52201,مانح,مُعْطٍ
awn3-05710673-n,47494,اعتناء,اِكْتِرَاثٌ|اِهْتِمامٌ|عِنَايَةٌ|اِنْتِبَاهٌ|حَرْصٌ|حِرْصٌ
awn3-04888818-n,47136,انضباط,تَعْدِيلٌ|ضَبْطٌ|تَسْوِيَةٌ|مُعَايَرَةٌ
awn3-05054430-n,46552,اولويه,أَوَّلِيَّةٌ|تَفْضِيلٌ|أفْضَليَّةٌ|تَصْدُّرِيَّةٌ|تَفَوَّقَ على|تَفَوَّقَ في
awn3-09907302-n,48089,ضيف,عَائِدٌ|نَازِلٌ|نَزِيلٌ
awn3-00358789-v,47217,تجذر,تَأَصَّلَ|أَثَلَ|ثَبَتَ|ثَبَتَ على|ثَبَتَ في|ثَبُتَ
awn3-05592578-n,51713,معصم,مَرْفِقٌ|مِرْفَقٌ|زَنْدٌ2|كُوعٌ
awn3-02422442-n,47623,ظبي,غَزَالٌ|رِيمٌ|طَلَا1|شَادِنٌ
awn3-03443167-n,47312,كاس,كُوبٌ|فِنْجَانٌ|جَامٌ
