conceptId,arabicSynset,englishSynset,gloss,example,dataSourceId
48895,سَجْفٌ | حِجَابٌ1 | غِطَاءٌ | سِتْرٌ | سِتَارَةٌ | سِتَارٌ | سِدْلٌ,NULL,مصنوع من قماش يُسدل على نوافذ البيت وأبوابه حجبًا للنظر أو اتِّقاءً للشمس,عليك إسدال ال_ حتّى لا يراكَ جيرانُك,43
48896,هَازِئٌ | سَاخِرٌ | هَزْلِيٌّ | سُخْريٌّ | سِخْريٌّ | سُخَرَةٌ | سُخْرَةٌ,NULL,صفة الشخص الذي يستخدم الانتقاد والتقليل بأفعال الآخرين طريقاً لجلب الفرح والضحك للناس,أَجَابَهُ بِكَلاَمٍ _,43
48897,قَضِيبٌ | سَارِيَةٌ | عَصَاً,NULL,قطعة خشبية أو معدنية طويلة تستخدم للتوكؤ أو الضرب,صَنَعَ لهُ _ من خشب,43
48898,قُتَارٌ | سِنَاجٌ | هَبَابٌ | دُخَّانٌ | سُخَامٌ | أُوَامٌ,NULL,ذات لون أسود لزجة تنتج عن لت تتصاعد من دقائق الوقود غير المحترقة,احترق القشّ فامتلأت السَّماء بال_,43
48900,مِمْسَاكٌ | كُلَّابٌ | مِزْلَاجٌ,NULL,قِطْعَةٌ مِنَ الْحَدِيدِ أَوِ الخَشَبِ تثبت في الباب كأداة تُسْتَعْمَلُ لِإِغْلاَقِ البَاب أو فتحه بِاليَد,قامَ بإغلاق باب الصفّ بِال_,43
48901,سِجِلٌّ | كَشْفٌ | دَفْتَرٌ,NULL,كتاب يُدَوَّن فيه ما يُرَاد حفظه من معلومات بطريقة مرتبة مثل الحسابات للرجوع إليها وقت الحاجة,قدَّم ال_ للقاضي للبحث في القضيّة,43
48902,شَاطَرَ | نَاصَفَ | قَاسَمَ | شَارَكَ | شَارَكَ في,NULL,تناصف أو أخذ جزء من شيء مع أحد آخر يأخذ مثل ما أخذ من نفس الشيء,_ الأنصار أموالهم مع إخوانهم المهاجرين,43
48903,نَفَقٌ | سِرْدَابٌ,NULL,شاغر تحت سطح الأرضِ يجتاح الحواجز الجغرافية والصناعية و له مدخل ومخرج,دَخَلَ إِلَى الْ_ عندما سمع الغارة,43
48904,غِطَاءٌ | كَبْسُولَةٌ | سِدَادَةٌ | فِلِّينٌ,NULL,مطَّاطَةٌ كَتُومٌ لا تتعفَّنُ ، تُستخرَجُ من لِحاءِ نوعٍ من أَشجار البلُّوط ، ويُصنع منها أشياء ، كسدادات القوارير,تركَ القنينة مفتوحة ال_,43
48905,لمحة الانتيمون | الانتيمون الرمادي | ستبنيت,stibnite | grey antimony | antimony glance,معدن يتركب من ثالث كبريتيد الانتيمون (نت2 كب3),NULL,43
48906,سَهْمِيٌّ | مُؤَسَّلٌ | مِسْمَارِيٌّ,NULL,صفة الشيء ذي الشكل الرفيع له قاعدة بسيطة ومدبب من الطرف الآخر,يستخدم النجار المسامير ال_ة في صناعة الأثاث,43
48907,سَطْحٌ,NULL,شاغر يمثل المساحة العليا من موجود ما,تتركز قطرات الندى في الصباح الباكر على _ أوراق النباتات,200
48908,مُخَالِفٌ | نَقِيضٌ | شَاذٌّ,abnormal,صفة ما ينحرف عن القاعدة أو النمط، وتستعمل صفة للفرد أو السلوك الذي خالف الطبيعة أو المعتاد.,كان زيد _ في سلوكه,43
