concept_id,subTypeOfID,partOfID,instanceOfID
293409,293305,NULL,NULL
293410,293305,NULL,NULL
293412,293272,NULL,NULL
293413,293409,NULL,NULL
293414,293409,NULL,NULL
293415,293409,NULL,NULL
293416,293289,NULL,NULL
293417,293289,NULL,NULL
293418,293289,NULL,NULL
293419,293289,NULL,NULL
293420,293289,NULL,NULL
293421,293289,NULL,NULL
293422,293289,NULL,NULL
293423,293289,NULL,NULL
293424,293370,NULL,NULL
293425,293424,NULL,NULL
293426,293424,NULL,NULL
293427,293424,NULL,NULL
293428,293424,NULL,NULL
293431,293428,NULL,NULL
293432,293428,NULL,NULL
293433,293428,NULL,NULL
293434,293451,NULL,NULL
293435,293451,NULL,NULL
293436,293451,NULL,NULL
293437,293451,NULL,NULL
293438,293424,NULL,NULL
293439,293438,NULL,NULL
293440,293438,NULL,NULL
293441,293438,NULL,NULL
293442,293424,NULL,NULL
293443,293442,NULL,NULL
293444,293442,NULL,NULL
293445,293442,NULL,NULL
293446,293442,NULL,NULL
293447,293424,NULL,NULL
293448,293447,NULL,NULL
293449,293447,NULL,NULL
293450,293447,NULL,NULL
293451,293424,NULL,NULL
293453,293262,NULL,NULL
293454,293262,NULL,NULL
293455,293454,NULL,NULL
293456,293454,NULL,NULL
293457,293454,NULL,NULL
293458,293289,NULL,NULL
293459,293289,NULL,NULL
293460,293155,NULL,NULL
293461,293258,NULL,NULL
293462,293258,NULL,NULL
293463,293258,NULL,NULL
293464,293258,NULL,NULL
293465,293258,NULL,NULL
293466,293258,NULL,NULL
293467,293258,NULL,NULL
293468,293462,NULL,NULL
293469,293462,NULL,NULL
293470,293462,NULL,NULL
293471,293464,NULL,NULL
293472,293203,NULL,NULL
293473,293203,NULL,NULL
293474,293218,NULL,NULL
293475,293256,NULL,NULL
293476,293256,NULL,NULL
293477,293256,NULL,NULL
293478,293264,NULL,NULL
293479,293264,NULL,NULL
293480,293228,NULL,NULL
293481,293228,NULL,NULL
293482,293254,NULL,NULL
293483,293482,NULL,NULL
293484,293482,NULL,NULL
293486,293474,NULL,NULL
293502,293483,NULL,NULL
293503,293483,NULL,NULL
293504,293483,NULL,NULL
293505,293483,NULL,NULL
293506,293504,NULL,NULL
293507,293504,NULL,NULL
293508,293504,NULL,NULL
293510,293504,NULL,NULL
293511,52448,NULL,NULL
293512,293505,NULL,NULL
293515,293505,NULL,NULL
293516,293505,NULL,NULL
293517,293505,NULL,NULL
293519,293504,NULL,NULL
293520,293504,NULL,NULL
293521,293289,NULL,NULL
293522,293271,NULL,NULL
293524,293310,NULL,NULL
293527,293281,NULL,NULL
293528,293571,NULL,NULL
293535,293421,NULL,NULL
293536,293421,NULL,NULL
293540,293569,NULL,NULL
293541,293569,NULL,NULL
293542,293569,NULL,NULL
293543,293542,NULL,NULL
293544,293542,NULL,NULL
293545,293569,NULL,NULL
293546,293569,NULL,NULL
293548,293568,NULL,NULL
293549,293568,NULL,NULL
293552,293567,NULL,NULL
293553,293567,NULL,NULL
293554,293567,NULL,NULL
293560,NULL,NULL,293508
293561,NULL,NULL,293508
293562,NULL,NULL,293508
293563,NULL,NULL,293508
293565,293185,NULL,NULL
293566,293171,NULL,NULL
293567,293506,NULL,NULL
293568,293506,NULL,NULL
293569,293506,NULL,NULL
293570,293202,NULL,NULL
293571,293387,NULL,NULL
293572,293570,NULL,NULL
293573,293570,NULL,NULL
293574,293387,NULL,NULL
293575,293261,NULL,NULL
293576,293570,NULL,NULL
293577,293572,NULL,NULL
293578,293572,NULL,NULL
293579,293572,NULL,NULL
293580,293572,NULL,NULL
293581,293572,NULL,NULL
293582,293572,NULL,NULL
293583,52661,NULL,NULL
293584,293572,NULL,NULL
293585,293572,NULL,NULL
293586,293572,NULL,NULL
293587,293572,NULL,NULL
293588,293572,NULL,NULL
293589,293572,NULL,NULL
293590,293572,NULL,NULL
293591,293589,NULL,NULL
