ao_concept_id,synset_id,arabic_words,has_hypernym
51549,awn3-15321922-u,مُشَاهِدٌ|مُشَاهِدَةٌ2|حُضُورٌ2,False
51551,awn3-15321923-u,ظِرٌّ|ظِرَّانٌ,False
51552,awn3-15321924-u,تَوَسَّخَ|تَوسُّخٌ,False
51553,awn3-15321925-u,وَاهٍ|رَكيكٌ,False
51554,awn3-15321926-u,تَوَطُّنٌ,False
51555,awn3-15321927-u,تَرَنَّمَ,False
51557,awn3-15321928-u,نَدَبَ,False
51558,awn3-15321929-u,تَصَبُّبٌ,False
51559,awn3-15321930-u,اللغة اللَاتِيْنِيَّة,False
51561,awn3-15321931-u,طُبٌّ,False
51563,awn3-15321932-u,حَصُورٌ,False
51565,awn3-15321933-u,خَضْراءُ,False
51569,awn3-15321934-u,طَبْلٌ,False
51570,awn3-15321935-u,اللغة العِبْرِيَّة,False
51572,awn3-15321936-u,تَرَبَّعَ|تَرَبَّعَ ب|تَرَبَّعَ في,False
51573,awn3-15321937-u,عَقْربَة|عَقْرَبَ,False
51574,awn3-15321938-u,بَيُولُوجِيَّةٌ,False
51578,awn3-15321939-u,غير متبلور|غير مُتبلوِر|غير مُتبلِّر,False
51579,awn3-15321940-u,مُحَرَّفٌ|مُلْتَوٍ|مُعَوَّجٌ,False
51580,awn3-15321941-u,مُحَزَّزٌ|مُفَرَّضٌ|مُثَلَّمٌ,False
51583,awn3-15321942-u,مُعَلَّبٌ,False
51586,awn3-15321943-u,حِتَارٌ,False
51593,awn3-15321944-u,كِلَّةٌ,False
51595,awn3-15321945-u,دُرْزَةٌ,False
51596,awn3-15321946-u,جو3,False
51597,awn3-15321947-u,مِضْرَبٌ,False
51603,awn3-15321948-u,بُطُولَةٌ,False
51607,awn3-15321949-u,كُحْلٌ|إِثْمِدٌ,False
51609,awn3-15321950-u,بُنْدُقٌ,False
51610,awn3-15321951-u,هِنْدٌ,False
51611,awn3-15321952-u,فَرْمٌ,False
51614,awn3-15321953-u,لَذَّةٌ,False
51623,awn3-15321954-u,فَسِيْلَةٌ,False
51624,awn3-15321955-u,مُشَرْشَرٌ|مُتَعَرِّجٌ|تَعَرَّجَ,False
51625,awn3-15321956-u,شَامٌ,True
51626,awn3-15321957-u,عَجِينٌ,False
51627,awn3-15321958-u,اِسْتِيطَانٌ,False
51629,awn3-15321959-u,صَعْتَرٌ,False
51632,awn3-15321960-u,غَرْبَلَ,False
51636,awn3-15321961-u,عَبقريَّةٌ,False
51638,awn3-15321962-u,قَصْفُ الرَّعد|هَزيمُ الرَّعد,False
51641,awn3-15321963-u,كَبٌّ,False
51642,awn3-15321964-u,هِنْدِيٌّ,False
51643,awn3-15321965-u,تمرٌ تمر هِنْدِيٌّ,False
51644,awn3-15321966-u,نقطة الانصهار|نقطة الانصِهار,False
51645,awn3-15321967-u,مِنْهَاجٌ,False
51647,awn3-15321968-u,اِسْتِقْلالٌ,False
51648,awn3-15321969-u,بَرْغُوثٌ|بُرْغُوثٌ|بِرْغُوثٌ,False
51653,awn3-15321970-u,نَبَّاحٌ,False
