ili_id,pos,arabic_words,ao_concept_id
i25400,v,مُسْنَدٌ1|مَسْنَدُ|مِسْنَدُ|هَيْئَةٌ|سِمَةٌ,293263
i63843,n,قَدَرٌ|قِسْطٌ|مِقْدَارٌ|مِقْيَاسٌ|كَمِّيَّةٌ,293266
i64540,n,تجويف دماغي,293270
i66098,n,تجويف صدري,293273
i66323,n,تجويف حوضي,293274
i65314,n,تجويف دماغي|تجويف مخي,293276
i53350,n,عُضْوٌ,293280
i39596,n,مَقُولَةٌ,293284
i51687,n,خَلِيَّةٌ,293287
i65502,n,هيكل خلوي|شبكة خلوية,293292
i80499,n,غَرَضٌ|عَمَلٌ|وَظِيفَةٌ,293294
i25024,v,مَوْضِعٌ|مَوْقِعٌ|مَكَانٌ,293300
i70692,n,مَجْمُوعَةٌ|جَمْعٌ|تَشْكِيلَةٌ,293302
i30113,v,نسيج حيوي,293304
i62072,n,جَمْعِيَّةٌ|هَيْئَةٌ|نِظَامٌ|شَرِكَةٌ|شِرْكَةٌ,293308
i66127,n,تجويف بطني,293318
i64528,n,أنيبيبات دقيقة,293324
i105180,n,فطر كيسي|فطر زقي,293325
i29373,v,نَبَاتٌ,293327
i42969,n,سَوْطِيَّاتٌ|سَوْطٌ1,293328
i98194,n,جدار خلوي,293330
i98220,n,نبات وعائي,293334
i98330,n,نبات معرى البذور,293338
i98662,n,نبات مغطى البذور|نبات زهري|نبات مزهر,293339
i4171,a,ذو فلقة,293340
i4170,a,ذو فلقتين,293341
i65570,n,رَايْبُوسُومٌ,293343
i65509,n,جهاز غولجي,293344
i65507,n,جسم مُحَلِل,293345
i65565,n,مَيْتُوكُنْدْرِيَا,293347
i104881,n,بْلَاسْتِيدَاتٌ,293348
i65573,n,فجوة خلوية,293349
i65571,n,مُرَيْكِزٌ,293350
i64920,n,نَوَاةٌ,293351
i65512,n,نُوَيَّةٌ,293352
i42615,n,كائن طلائعي,293353
i104947,n,فطر غروي,293356
i42759,n,طحلب أحمر,293358
i42695,n,طحلب بني,293359
i42687,n,طحلب ذهبي,293360
i42724,n,طحلب أخضر,293361
i42721,n,طحلب يوغلينا,293362
i42776,n,طحلب ناري,293363
i42620,n,كائن أولي|كائن طلائعي شبيه بالحيوانات,293365
i42802,n,كائن بوغي,293367
i42773,n,كائن ذو أسواط,293368
i42653,n,كائن ذو أهداب,293369
i9760,s,حَيَوَانٌ,293370
i43021,n,حَيَوَانٌ حَبْلِيّ الذَّيْل,293372
i43016,n,حَيَوَانٌ حَبْلِيّ الرَّأْس,293373
i43049,n,كَائِنٌ لا فَكِّيّ,293375
i43078,n,كَائِنٌ فَكِّيّ,293376
i49977,n,كَائِنٌ بَرْمائِيٌّ,293377
i27317,v,سَمَكَةٌ,293381
i43083,n,سَمَكَة غُضْرُوفِيَّة,293382
i48829,n,كَائِنٌ ذو خُرْطُومٌ|حَيَوَانٌ ذو خُرْطُومٌ,293389
i45239,n,آكِلُ الحَشَرات,293390
i46701,n,خُفَّاشٌ,293391
